pref_name	chembl_id	indication_class	mw_freebase	canonical_smiles
LACTIC ACID	CHEMBL1200559		90.08	CC(O)C(=O)O
DIHYDROXYACETONE	CHEMBL1229937		90.08	O=C(CO)CO
GLYCERIN	CHEMBL692	Pharmaceutic Aid (solvent); Pharmaceutic Aid (humectant)	92.09	OCC(O)CO
PHENOL	CHEMBL14060	Disinfectant,Pharmaceutic Aid (preservative)	94.11	Oc1ccccc1
DALFAMPRIDINE	CHEMBL284348	Multiple Sclerosis Symptomatic Treatment	94.12	Nc1ccncc1
MAGNESIUM CHLORIDE ANHYDROUS	CHEMBL2219642	Replenisher (electrolyte)	95.21	[Cl-].[Cl-].[Mg+2]
MAGNESIUM CHLORIDE	CHEMBL3185229		95.21	O.O.O.O.O.O.[Cl-].[Cl-].[Mg+2]
PHOSPHORIC ACID	CHEMBL1187	Pharmaceutic Aid (solvent)	97.99	O=P(O)(O)O
POTASSIUM ACETATE	CHEMBL1201058	Replenisher (electrolyte)	98.14	CC(=O)[O-].[K+]
MEPARFYNOL	CHEMBL501613		98.14	C#CC(C)(O)CC
CALCIUM CARBONATE	CHEMBL1200539	Antacid	100.09	O=C([O-])[O-].[Ca+2]
POTASSIUM BICARBONATE	CHEMBL2106975	Pharmaceutic Necessity	100.11	O=C([O-])O.[K+]
ALUMINIUM OXIDE	CHEMBL4594252		101.96	O=[Al]O[Al]=O
CYCLOSERINE	CHEMBL771	Antibacterial (tuberculostatic)	102.09	N[C@@H]1CONC1=O
SODIUM BROMIDE	CHEMBL1644694		102.89	[Br-].[Na+]
POTASSIUM OXYBATE	CHEMBL4594395		104.11	O=C([O-])CCCO.[K+]
MAGNESIUM OXYBATE	CHEMBL4594394		104.11	O=C([O-])CCCO.O=C([O-])CCCO.[Mg+2]
SODIUM OXYBATE	CHEMBL1200682	Anesthesia, Adjunct To	104.11	O=C([O-])CCCO.[Na+]
CALCIUM OXYBATE	CHEMBL4594393		104.11	O=C([O-])CCCO.O=C([O-])CCCO.[Ca+2]
OXYBATE	CHEMBL1342	Anesthesia, Adjunct To	104.11	O=C(O)CCCO
SODIUM CARBONATE	CHEMBL186314	Pharmaceutic Aid (alkalizing agent)	105.99	O=C([O-])[O-].[Na+].[Na+]
AMMONIUM LACTATE	CHEMBL1200747	Antipruritic (topical)	107.11	CC(O)C(=O)O.N
BENZYL ALCOHOL	CHEMBL720	Pharmaceutic Aid (antimicrobial agent)	108.14	OCc1ccccc1
AMIFAMPRIDINE PHOSPHATE	CHEMBL3301611		109.13	Nc1ccncc1N.O=P(O)(O)O
AMIFAMPRIDINE	CHEMBL354077		109.13	Nc1ccncc1N
RESORCINOL	CHEMBL24147	Keratolytic	110.11	Oc1cccc(O)c1
HYDROQUINONE	CHEMBL537	Depigmentor	110.11	Oc1ccc(O)cc1
CALCIUM CHLORIDE	CHEMBL1200668	Radioactive Agent,Replenisher (calcium)	110.98	[Ca+2].[Cl-].[Cl-]
BETAZOLE HYDROCHLORIDE	CHEMBL1200949		111.15	Cl.NCCc1cc[nH]n1
HISTAMINE	CHEMBL90	Stimulant (gastric secretory)	111.15	NCCc1c[nH]cn1
HISTAMINE PHOSPHATE	CHEMBL3989520		111.15	NCCc1c[nH]cn1.O=P(O)(O)O.O=P(O)(O)O
HISTAMINE DIHYDROCHLORIDE	CHEMBL1533310		111.15	Cl.Cl.NCCc1c[nH]cn1
BETAZOLE	CHEMBL1201323		111.15	NCCc1cc[nH]n1
SODIUM LACTATE	CHEMBL1357	Replenisher (electrolyte)	112.06	CC(O)C(=O)[O-].[Na+]
THIOSULFURIC ACID	CHEMBL1208642	Antidote (to cyanide poisoning)	114.15	O=S(O)(O)=S
SODIUM THIOSULFATE	CHEMBL2096650	Antidote (to cyanide poisoning)	114.15	O.O.O.O.O.O=S([O-])([O-])=S.[Na+].[Na+]
METHIMAZOLE	CHEMBL1515	Thyroid Inhibitor	114.17	Cn1ccnc1S
FUMARIC ACID	CHEMBL503160	Acidifier	116.07	O=C(O)/C=C/C(=O)O
BETAINE HYDROCHLORIDE	CHEMBL1201130	Replenisher Adjunct (electrolyte)	118.16	C[N+](C)(C)CC(=O)O.[Cl-]
BETAINE	CHEMBL95889	Replenisher Adjunct (electrolyte)	118.16	C[N+](C)(C)CC(=O)O
POTASSIUM BROMIDE	CHEMBL1644030		119.00	[Br-].[K+]
CHLOROFORM	CHEMBL44618		119.38	ClC(Cl)Cl
SODIUM PHOSPHATE, MONOBASIC	CHEMBL1368		119.98	O=P([O-])(O)O.[Na+]
NOXYTIOLIN	CHEMBL2106441		120.18	CNC(=S)NCO
MAGNESIUM SULFATE ANHYDROUS	CHEMBL2021423	Anticonvulsant; Replenisher (electrolyte); Laxative	120.37	O=S(=O)([O-])[O-].[Mg+2]
MAGNESIUM SULFATE	CHEMBL3989857		120.37	O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Mg+2]
RUBIDIUM CHLORIDE	CHEMBL2110557	Diagnostic Aid (radioactive, cardiac disease); Radioactive Agent	120.92	[Cl-].[Rb+]
RUBIDIUM CHLORIDE RB 82	CHEMBL1200727	Diagnostic Aid (radioactive, cardiac disease); Radioactive Agent	120.92	[82Rb+].[Cl-]
TROMETHAMINE	CHEMBL1200391	Alkalizer	121.14	NC(CO)(CO)CO
CYSTEINE	CHEMBL863	Amino Acid	121.16	N[C@@H](CS)C(=O)O
CYSTEINE HYDROCHLORIDE	CHEMBL1200630	Amino Acid	121.16	Cl.N[C@@H](CS)C(=O)O
BENZOIC ACID	CHEMBL541	Pharmaceutic Aid (antifungal agent)	122.12	O=C(O)c1ccccc1
NIACINAMIDE	CHEMBL1140	Vitamin (enzyme co-factor)	122.13	NC(=O)c1cccnc1
NIACIN	CHEMBL573	Vitamin (enzyme co-factor); Antihyperlipidemic	123.11	O=C(O)c1cccnc1
PYRAZINAMIDE	CHEMBL614	Antibacterial (tuberculostatic)	123.11	NC(=O)c1cnccn1
MEQUINOL	CHEMBL544		124.14	COc1ccc(O)cc1
DIMERCAPROL	CHEMBL1597	Antidote (to arsenic and gold and mercury poisoning)	124.23	OCC(S)CS
TAURINE	CHEMBL239243		125.15	NCCS(=O)(=O)O
FOSCARNET SODIUM	CHEMBL754	Antiviral	126.00	O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+]
FOSCARNET	CHEMBL666	Antiviral	126.00	O=C(O)P(=O)(O)O
PHLOROGLUCINOL	CHEMBL473159		126.11	Oc1cc(O)cc(O)c1
PYROGALLOL	CHEMBL307145		126.11	Oc1cccc(O)c1O
PYRITHIONE	CHEMBL1650619		127.17	On1ccccc1=S
PYRITHIONE ZINC	CHEMBL3392049		127.17	[O-]n1ccccc1=S.[O-]n1ccccc1=S.[Zn+2]
POTASSIUM LACTATE	CHEMBL1200664		128.17	CC(O)C(=O)[O-].[K+]
SELENIOUS ACID	CHEMBL2009089		128.97	O=[Se](O)O
FLUCYTOSINE	CHEMBL1463	Antifungal	129.09	Nc1nc(=O)[nH]cc1F
VIGABATRIN	CHEMBL89598	Anticonvulsant (tardive dyskinesia)	129.16	C=CC(N)CCC(=O)O
METFORMIN HYDROCHLORIDE	CHEMBL1703	Antidiabetic	129.17	CN(C)C(=N)NC(=N)N.Cl
METFORMIN	CHEMBL1431	Antidiabetic	129.17	CN(C)C(=N)NC(=N)N
FLUOROURACIL	CHEMBL185	Antineoplastic	130.08	O=c1[nH]cc(F)c(=O)[nH]1
MONOMETHYL FUMARATE	CHEMBL589586		130.10	COC(=O)/C=C/C(=O)O
AMINOLEVULINIC ACID	CHEMBL601	Antineoplastic	131.13	NCC(=O)CCC(=O)O
AMINOLEVULINIC ACID HYDROCHLORIDE	CHEMBL1200582	Antineoplastic	131.13	Cl.NCC(=O)CCC(=O)O
AMINOCAPROIC ACID	CHEMBL1046	Hemostatic	131.18	NCCCCCC(=O)O
XENON XE 127	CHEMBL1200673	Diagnostic Aid; Radioactive Agent; Gas, Medicinal	131.29	[127Xe]
XENON XE 133	CHEMBL1200685	Radioactive Agent	131.29	[133Xe]
XENON XE-129, HYPERPOLARIZED	CHEMBL4594411		131.29	[129Xe]
XENON	CHEMBL1236802	Diagnostic Aid; Radioactive Agent; Gas, Medicinal,Radioactive Agent	131.29	[Xe]
TRICHLOROETHYLENE	CHEMBL279816		131.39	ClC=C(Cl)Cl
PARALDEHYDE	CHEMBL1410743	Sedative-Hypnotic	132.16	CC1OC(C)OC(C)O1
FLUCICLOVINE F18	CHEMBL254468		133.12	N[C@]1(C(=O)O)C[C@@H]([18F])C1
FLUCICLOVINE	CHEMBL1908917		133.12	N[C@]1(C(=O)O)C[C@@H](F)C1
ALUMINUM CHLORIDE	CHEMBL3833314		133.34	O.O.O.O.O.O.[Al+3].[Cl-].[Cl-].[Cl-]
ALUMINUM CHLORIDE	CHEMBL3833401		133.34	Cl[Al](Cl)Cl
TRICHLOROETHANE	CHEMBL16080		133.41	CC(Cl)(Cl)Cl
MALIC ACID	CHEMBL1455497	Pharmaceutic Aid (acidifying agent)	134.09	O=C(O)CC(O)C(=O)O
AMPHETAMINE ADIPATE	CHEMBL1200387		135.21	CC(N)Cc1ccccc1.O=C(O)CCCCC(=O)O
AMPHETAMINE SULFATE	CHEMBL501	Stimulant (central)	135.21	CC(N)Cc1ccccc1.O=S(=O)(O)O
AMPHETAMINE	CHEMBL405	Stimulant (central)	135.21	CC(N)Cc1ccccc1
DEXTROAMPHETAMINE SULFATE	CHEMBL3544971	Stimulant (central)	135.21	C[C@H](N)Cc1ccccc1.C[C@H](N)Cc1ccccc1.O=S(=O)(O)O
AMPHETAMINE ASPARTATE	CHEMBL1200377		135.21	CC(N)Cc1ccccc1.NC(CC(=O)O)C(=O)O
DEXTROAMPHETAMINE ADIPATE	CHEMBL1200782		135.21	C[C@H](N)Cc1ccccc1.O=C(O)CCCCC(=O)O
DEXTROAMPHETAMINE	CHEMBL612	Stimulant (central)	135.21	C[C@H](N)Cc1ccccc1
DEXTROAMPHETAMINE SACCHARATE	CHEMBL3989844		135.21	C[C@H](N)Cc1ccccc1.O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
CALCIUM PHOSPHATE, DIBASIC	CHEMBL2107567		136.06	O=P([O-])([O-])O.[Ca+2]
POTASSIUM PHOSPHATE, MONOBASIC	CHEMBL1200925	Pharmaceutic Aid (buffering agent)	136.08	O=P([O-])(O)O.[K+]
ALLOPURINOL SODIUM	CHEMBL1200477		136.11	O=c1[n-]cnc2[nH]ncc12.[Na+]
ALLOPURINOL	CHEMBL1467	Xanthine Oxidase Inhibitor	136.11	Oc1ncnc2[nH]ncc12
MEBANAZINE	CHEMBL1909283		136.20	CC(NN)c1ccccc1
PHENELZINE	CHEMBL1089	Antidepressant	136.20	NNCCc1ccccc1
PHENELZINE SULFATE	CHEMBL1200895	Antidepressant	136.20	NNCCc1ccccc1.O=S(=O)(O)O
BETAHISTINE HYDROCHLORIDE	CHEMBL1446813	Vasodilator	136.20	CNCCc1ccccn1.Cl.Cl
BETAHISTINE	CHEMBL24441	Vasodilator	136.20	CNCCc1ccccn1
ZINC CHLORIDE	CHEMBL1200679	Astringent; Dentin Desensitizer	136.30	[Cl-].[Cl-].[Zn+2]
ISONIAZID	CHEMBL64	Antibacterial (tuberculostatic)	137.14	NNC(=O)c1ccncc1
AMINOBENZOIC ACID	CHEMBL542	Analgesic,Ultraviolet Screen	137.14	Nc1ccc(C(=O)O)cc1
METHYL NICOTINATE	CHEMBL379845		137.14	COC(=O)c1cccnc1
PRALIDOXIME CHLORIDE	CHEMBL748	Cholinesterase Reactivator	137.16	C[n+]1ccccc1/C=N/O.[Cl-]
PRALIDOXIME	CHEMBL1420	Cholinesterase Reactivator	137.16	C[n+]1ccccc1C=NO
ISAXONINE PHOSPHATE	CHEMBL1697751		137.19	CC(C)Nc1ncccn1.O=P(O)(O)O
ISAXONINE	CHEMBL1740513		137.19	CC(C)Nc1ncccn1
FOSFOMYCIN TROMETHAMINE	CHEMBL1200331	Antibacterial	138.06	C[C@@H]1O[C@@H]1P(=O)(O)O.NC(CO)(CO)CO
FOSFOMYCIN	CHEMBL1757	Antibacterial	138.06	C[C@@H]1O[C@@H]1P(=O)(O)O
SALICYLIC ACID	CHEMBL424	Keratolytic	138.12	O=C(O)c1ccccc1O
PHENOXYETHANOL	CHEMBL1229846		138.17	OCCOc1ccccc1
POTASSIUM PERCHLORATE	CHEMBL1200696		138.55	[K+].[O-][Cl+3]([O-])([O-])[O-]
AMMONIUM BENZOATE	CHEMBL2105970		139.15	N.O=C(O)c1ccccc1
DEFERIPRONE	CHEMBL70927		139.15	Cc1c(O)c(=O)ccn1C
CHOLINE C-11	CHEMBL2095207		139.63	C[N+](C)([11CH3])CCO.[Cl-]
CHOLINE CHLORIDE	CHEMBL282468		139.63	C[N+](C)(C)CCO.[Cl-]
SODIUM SUCCINATE	CHEMBL1200345		140.07	O=C([O-])CCC(=O)O.[Na+]
METHENAMINE	CHEMBL1201270	Antibacterial (urinary)	140.19	C1N2CN3CN1CN(C2)C3
METHENAMINE HIPPURATE	CHEMBL1201104	Antibacterial (urinary)	140.19	C1N2CN3CN1CN(C2)C3.O=C(O)CNC(=O)c1ccccc1
METHENAMINE MANDELATE	CHEMBL3833312		140.19	C1N2CN3CN1CN(C2)C3.O=C(O)C(O)c1ccccc1
ETHOSUXIMIDE	CHEMBL696	Anticonvulsant	141.17	CCC1(C)CC(=O)NC1=O
ISOMETHEPTENE MUCATE	CHEMBL2355839		141.26	CNC(C)CCC=C(C)C.CNC(C)CCC=C(C)C.O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O
ISOMETHEPTENE	CHEMBL1697841		141.26	CNC(C)CCC=C(C)C
SODIUM PHOSPHATE, DIBASIC	CHEMBL2107560	Laxative	141.96	O.O.O=P([O-])([O-])O.[Na+].[Na+]
SODIUM PHOSPHATE	CHEMBL1060	Diagnostic Aid (neoplasm); Antineoplastic; Radioactive Agent; Antipolycythemic,Laxative	141.96	O=P([O-])([O-])O.[Na+].[Na+]
SODIUM PHOSPHATE P 32	CHEMBL2107525	Diagnostic Aid (neoplasm); Antineoplastic; Radioactive Agent; Antipolycythemic	141.96	O=[32P]([O-])([O-])O.[Na+].[Na+]
SODIUM SULFATE	CHEMBL3989856		142.04	O.O.O.O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Na+].[Na+]
SODIUM SULFATE ANHYDROUS	CHEMBL233406	Regulator (calcium)	142.04	O=S(=O)([O-])[O-].[Na+].[Na+]
PIRACETAM	CHEMBL36715	Cognition Adjuvant	142.16	NC(=O)CN1CCCC1=O
2-MERCAPTOETHANESULFONIC ACID	CHEMBL1098319	Detoxifying Agent	142.20	O=S(=O)(O)CCS
MESNA	CHEMBL975	Detoxifying Agent	142.20	O=S(=O)([O-])CCS.[Na+]
MAGNESIUM ACETATE	CHEMBL1200691		142.39	CC(=O)[O-].CC(=O)[O-].[Mg+2]
MAGNESIUM ACETATE TETRAHYDRATE	CHEMBL3989858		142.39	CC(=O)[O-].CC(=O)[O-].O.O.O.O.[Mg+2]
SELENIUM SULFIDE	CHEMBL1200680	Antifungal; Antiseborrheic	143.09	S=[Se]=S
TRIMETHADIONE	CHEMBL695	Anticonvulsant	143.14	CN1C(=O)OC(C)(C)C1=O
SODIUM MONOFLUOROPHOSPHATE	CHEMBL1908359	Dental Caries Prophylactic	143.95	O=P([O-])([O-])F.[Na+].[Na+]
SODIUM BENZOATE	CHEMBL1356	Antihyperammonemic; Pharmaceutic Aid (antifungal agent)	144.10	O=C([O-])c1ccccc1.[Na+]
DIMETHYL FUMARATE	CHEMBL2107333		144.13	COC(=O)/C=C/C(=O)OC
VALPROIC ACID	CHEMBL109	Anticonvulsant	144.21	CCCC(CCC)C(=O)O
DIVALPROEX SODIUM	CHEMBL2105613	Anticonvulsant	144.21	CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
VALPROATE SODIUM	CHEMBL433	Anticonvulsant	144.21	CCCC(CCC)C(=O)[O-].[Na+]
ETHCHLORVYNOL	CHEMBL591	Sedative-Hypnotic	144.60	C#CC(O)(/C=C/Cl)CC
METHYL AMINOLEVULINATE	CHEMBL1096562		145.16	COC(=O)CCC(=O)CN
METHYL AMINOLEVULINATE HYDROCHLORIDE	CHEMBL1201093		145.16	COC(=O)CCC(=O)CN.Cl
SULFUR HEXAFLUORIDE	CHEMBL1796998		146.06	FS(F)(F)(F)(F)F
COUMARIN	CHEMBL6466		146.14	O=c1ccc2ccccc2o1
ISOSORBIDE	CHEMBL1200660	Diuretic	146.14	O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
GLUTAMINE	CHEMBL930		146.15	NC(=O)CC[C@H](N)C(=O)O
LYSINE	CHEMBL8085	Amino Acid	146.19	NCCCC[C@H](N)C(=O)O
ACETYLCHOLINE CHLORIDE	CHEMBL1184	Vasodilator (peripheral); Cardiac Depressant; Miotic; Cholinergic	146.21	CC(=O)OCC[N+](C)(C)C.[Cl-]
ACETYLCHOLINE	CHEMBL667	Vasodilator (peripheral); Cardiac Depressant; Miotic; Cholinergic	146.21	CC(=O)OCC[N+](C)(C)C
TRIENTINE HYDROCHLORIDE	CHEMBL3989777		146.24	Cl.Cl.NCCNCCNCCN
TRIENTINE TETRAHYDROCHLORIDE	CHEMBL5095420		146.24	Cl.Cl.Cl.Cl.NCCNCCNCCN
TRIENTINE	CHEMBL609	Chelating Agent	146.24	NCCNCCNCCN
CARBAMOYLCHOLINE	CHEMBL965	Cholinergic (ophthalmic)	147.20	C[N+](C)(C)CCOC(N)=O
CARBACHOL	CHEMBL14	Cholinergic (ophthalmic)	147.20	C[N+](C)(C)CCOC(N)=O.[Cl-]
TROLAMINE	CHEMBL446061	Pharmaceutic Aid (alkalizing agent); Analgesic	149.19	OCCN(CCO)CCO
METHIONINE	CHEMBL42336	Amino Acid,Radioactive Agent	149.21	CSCC[C@H](N)C(=O)O
PENICILLAMINE	CHEMBL1430	Chelating Agent	149.21	CC(C)(S)[C@@H](N)C(=O)O
METHAMPHETAMINE	CHEMBL1201201	Stimulant (central)	149.24	CN[C@@H](C)Cc1ccccc1
METHAMPHETAMINE HYDROCHLORIDE	CHEMBL1200952	Stimulant (central)	149.24	CN[C@@H](C)Cc1ccccc1.Cl
PHENTERMINE	CHEMBL1574	Anorexic,Appetite Suppressant (systemic)	149.24	CC(C)(N)Cc1ccccc1
PHENTERMINE HYDROCHLORIDE	CHEMBL1200912	Appetite Suppressant (systemic)	149.24	CC(C)(N)Cc1ccccc1.Cl
SODIUM IODIDE I 123	CHEMBL1201083	Diagnostic Aid (thyroid function determination); Radioactive Agent	149.89	[123I-].[Na+]
SODIUM IODIDE I 131	CHEMBL1201084	Diagnostic Aid (thyroid function determination); Radioactive Agent; Antineoplastic	149.89	[131I-].[Na+]
SODIUM IODIDE	CHEMBL1644695	Diagnostic Aid (thyroid function determination); Radioactive Agent,Diagnostic Aid (thyroid function determination); Radioactive Agent; Antineoplastic,Radioactive Agent; Diagnostic Aid (thyroid function determination),Supplement (iodine)	149.89	[I-].[Na+]
TARTARIC ACID	CHEMBL1200861	Pharmaceutic Aid (buffering agent)	150.09	O=C(O)[C@@H](O)[C@H](O)C(=O)O
XYLOSE	CHEMBL502135	Diagnostic Aid (intestinal function determination)	150.13	OC1OC[C@@H](O)[C@H](O)[C@H]1O
THYMOL	CHEMBL29411	Pharmaceutic Aid (stabilizer)	150.22	Cc1ccc(C(C)C)c(O)c1
SODIUM DICHLOROACETATE	CHEMBL306823		150.92	O=C([O-])C(Cl)Cl.[Na+]
ACETAMINOPHEN	CHEMBL112	Analgesic; Antipyretic	151.16	CC(=O)Nc1ccc(O)cc1
HYDROXYAMPHETAMINE	CHEMBL1546	Adrenergic (ophthalmic)	151.21	CC(N)Cc1ccc(O)cc1
PHENYLPROPANOLAMINE HYDROCHLORIDE	CHEMBL1200695	Adrenergic (vasoconstrictor)	151.21	CC(N)C(O)c1ccccc1.Cl
HYDROXYAMPHETAMINE HYDROBROMIDE	CHEMBL1200705	Adrenergic (ophthalmic)	151.21	Br.CC(N)Cc1ccc(O)cc1
PHENYLPROPANOLAMINE	CHEMBL61006	Adrenergic (vasoconstrictor)	151.21	CC(N)C(O)c1ccccc1
AMANTADINE HYDROCHLORIDE	CHEMBL1569	Antiviral	151.25	Cl.NC12CC3CC(CC(C3)C1)C2
AMANTADINE	CHEMBL660	Antiviral	151.25	NC12CC3CC(CC(C3)C1)C2
TAVABOROLE	CHEMBL443052		151.93	OB1OCc2cc(F)ccc21
OXYPURINOL	CHEMBL859	Xanthine Oxidase Inhibitor	152.11	Oc1nc(O)c2cn[nH]c2n1
MANDELIC ACID	CHEMBL1609		152.15	O=C(O)C(O)c1ccccc1
METHYL SALICYLATE	CHEMBL108545	Pharmaceutic Aid (flavor)	152.15	COC(=O)c1ccccc1O
MERCAPTOPURINE	CHEMBL1200751	Antineoplastic	152.18	O.S=c1[nH]cnc2nc[nH]c12
TISOPURINE	CHEMBL119423		152.18	Sc1ncnc2[nH]ncc12
MERCAPTOPURINE ANHYDROUS	CHEMBL1425	Antineoplastic	152.18	Sc1ncnc2nc[nH]c12
CAMPHOR	CHEMBL504760	Antipruritic	152.24	CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
AMINOSALICYLATE SODIUM	CHEMBL2096646	Antibacterial (tuberculostatic)	153.14	Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+]
AMINOSALICYLIC ACID	CHEMBL1169	Antibacterial (tuberculostatic)	153.14	Nc1ccc(C(=O)O)c(O)c1
AMINOSALICYLATE POTASSIUM	CHEMBL1200584		153.14	Nc1ccc(C(=O)[O-])c(O)c1.[K+]
MESALAMINE	CHEMBL704	Anti-Inflammatory	153.14	Nc1ccc(O)c(C(=O)O)c1
DOPAMINE HYDROCHLORIDE	CHEMBL1557	Adrenergic	153.18	Cl.NCCc1ccc(O)c(O)c1
ENBUCRILATE	CHEMBL2104251		153.18	C=C(C#N)C(=O)OCCCC
DOPAMINE	CHEMBL59	Adrenergic	153.18	NCCc1ccc(O)c(O)c1
PERBORIC ACID	CHEMBL3707334		153.65	O[B-]1(O)OO[B-](O)(O)OO1
